"team","total_medals"
"United States",1460
"Italy",571
"France",571
"Soviet Union",504
"Great Britain",481
"Germany",396
"Australia",370
"Sweden",341
"Canada",328
"Netherlands",257
"Hungary",241
"Norway",231
"Russia",219
"Romania",198
"East Germany",195
"Spain",178
"Brazil",163
"Belgium",148
"Switzerland",134
"China",114
"West Germany",113
"Cuba",109
"Denmark",107
"Yugoslavia",91
"Argentina",91
"Poland",87
"Czechoslovakia",85
"Bulgaria",72
"New Zealand",71
"Japan",55
"South Korea",52
"Austria",51
"Unified Team",50
"Finland",49
"Jamaica",46
"Pakistan",45
"Turkey",41
"Ukraine",38
"Nigeria",38
"India",34
"Mexico",33
"Belarus",32
"Croatia",31
"Switzerland-1",28
"South Africa",27
"United States-1",27
"Ethiopia",25
"Greece",25
"Uruguay",25
"Serbia",20
"Kenya",18
"Czech Republic",18
"Morocco",16
"Chinese Taipei",16
"Trinidad and Tobago",15
"Great Britain-1",15
"Germany-1",14
"Canada-1",13
"France-1",13
"Bahamas",13
"Lithuania",12
"Serbia and Montenegro",12
"Zimbabwe",12
"Italy-1",11
"Kazakhstan",11
"Slovenia",11
"Paraguay",11
"Ghana",11
"Switzerland-2",11
"Portugal",11
"Australasia",10
"Azerbaijan",10
"Great Britain-2",10
"United States-2",9
"Vesper Boat Club",9
"Brazil-1",9
"Chile",9
"Devon and Somerset Wanderers",9
"Mongolia",8
"Soviet Union-1",8
"Cameroon",8
"Ireland",8
"Union des Socits Franais de Sports Athletiques",8
"Iran",8
"Colombia",7
"China-1",7
"Uzbekistan",7
"Winnipeg Shamrocks-1",7
"Angelita",7
"Racing Club de France",6
"Venezuela",6
"Germany-2",6
"Lerina",6
"Socit Nautique de la Basse Seine-1",6
"Latvia",6
"West Germany-1",6
"St. Rose-2",6
"Hera-1",6
"East Germany-1",5
"Moseley Wanderers",5
"Royal Club Nautique de Gand",5
"North Korea",5
"Georgia",5
"Austria-1",5
"Armenia",5
"Egypt",5
"Saudi Arabia",5
"Minerva Amsterdam",5
"USFSA",5
"Leander Club-1",4
"Pupilles de Neptune de Lille #2-1",4
"Berliner Ruderverein von 1876-2",4
"Bucintoro Venezia",4
"Olle",4
"Thailand",4
"Western Golf Association-1",4
"Cercle de l'Aviron Roubaix-4",4
"Russia-1",4
"Erna Signe",4
"Martha-1",4
"Algeria",4
"Gallant",4
"Brussels Swimming and Water Polo Club",4
"Montenegro",4
"Gitana-2",4
"Christian Brothers' College-1",4
"Peru",4
"Elisabeth X",3
"L'Aile VI",3
"Snap",3
"Mohawk Indians-2",3
"Singapore",3
"Norna",3
"Quand-Mme-2",3
"Tajikistan",3
"Cambridge University Boat Club-2",3
"Upton Park FC",3
"A North American Team",3
"K Division Metropolitan Police Team-3",3
"Greece-1",3
"Individual Olympic Athletes",3
"Italy-2",3
"Venilia",3
"Ludwigshafener Ruderverein",3
"Toronto Argonauts",3
"New College, Oxford-2",3
"Ireland-2",3
"Edelweiss II-1",3
"Libellule de Paris",3
"Puerto Rico",3
"France-3",3
"Haiti",3
"Fornebo",3
"Taifun",3
"Slovakia",3
"Indonesia-1",3
"Malaysia",3
"Boston Archers",3
"Qatar",3
"Leander Club-2",3
"East Germany-2",3
"Marinai della nave da guerra ""Varese""",3
"Barion/Bari-2",3
"Iceland",3
"Nina",3
"Phalainis ton Thorichtou ""Hydra""-2",3
"Soviet Union-2",3
"Magda IX",3
"Life boat naval ship ""Spetsai""-1",3
"Estonia",3
"Nina Claire-2",3
"Scotland-3",3
"Roddklubben af 1912-1",3
"Atlanta",3
"Pistoja/Firenze",2
"Cornwall",2
"Russia-2",2
"Italia",2
"Scotia",2
"Tutti V",2
"Mouchette-2",2
"Western Rowing Club-3",2
"Lalage",2
"Smyrna",2
"United States Golf Association-3",2
"Osborne Swimming Club, Manchester",2
"BLO Polo Club, Rugby",2
"Pan",2
"France-2",2
"Bucintoro Venezia-1",2
"Favorite Hammonia-3",2
"England-1",2
"Tip",2
"Galt Football Club",2
"United States/France",2
"Indonesia",2
"Century Boat Club-1",2
"Missouri Athletic Club-3",2
"Oranje",2
"Vision",2
"Tritons Lillois-2",2
"Gallia II",2
"Tunisia",2
"Australia-1",2
"Heira II",2
"Cobweb-1",2
"Tornado",2
"Lebanon",2
"Bissbi",2
"Symphony",2
"Mound City Rowing Club-2",2
"Great Britain-3",2
"Hollandia",2
"Luxembourg",2
"Gyrinus-1",2
"Syria",2
"Frankfurt Club",2
"Heroine",2
"Wales-4",2
"Favorite-1",2
"New York Turnverein, New York",2
"Web II",2
"Liverpool Police Team-2",2
"Cincinnati Archers",2
"Stella-2",2
"Kuwait",2
"Fiji",2
"Silja",2
"Foxhunters Hurlingham",2
"Mosk II",2
"Niger",2
"Slaghoken",2
"Ludwigshafener Ruder Verein-1",2
"Kurush II",2
"Polyteknisk Roklub-1",2
"Large boat, Central Naval Prep School ""Poros""-1",2
"Amstel Amsterdam",2
"Thames Rowing Club",2
"Tango",2
"United Arab Republic",2
"Iraq",1
"Marmi II-1",1
"Togo",1
"Sarcelle-3",1
"Bera",1
"Magdalen College Boat Club-1",1
"Guatemala",1
"Botswana",1
"Nirefs",1
"Central Turnverein, Chicago",1
"South Korea-2",1
"Kerstin-1",1
"Ormsund Roklub-2",1
"Canada-2",1
"Nepal",1
"Greece-2",1
"Elisabeth V",1
"Bluebottle",1
"Malaysia-1",1
"Gem IV",1
"Kitty-1",1
"Dormy-1",1
"Austria-2",1
"Caprice",1
"Tanzania",1
"Ballerina IV",1
"Carabinier-15",1
"Uganda",1
"Seawanhaka Boat Club-1",1
"Israel",1
"Santa Maria",1
"Llanoria",1
"Trans-Mississippi Golf Association-2",1
"Antwerpia V",1
"Slaghoken II",1
"Complex II",1
"Bem II",1
"White Lady",1
"Brynhild-2",1
"Mutafo",1
"Socit Nautique de Bayonne-1",1
"Chuckles",1
"Philippines",1
"China-2",1
"Crabe II-1",1
"Chicago Athletic Association-2",1
"Buraddoo",1
"United States/Great Britain",1
"Willem-Six",1
"United Arab Emirates",1
"Lucky Girl-1",1
"Leander Club #2-2",1
"Guyoni",1
"Swedish Star",1
"Swift",1
"Bonzo",1
"Cote d'Ivoire",1
"Sirene",1
"Univ. of Brussels",1
"Sweden-1",1
"Latvia-1",1
"Berliner Ruderclub",1
"Netherlands Antilles",1
"Gem",1
"Dominican Republic",1
"London City Police-1",1
"Widgeon",1
"Great Britain/Germany",1
"Denmark/Sweden",1
"Elvis Va",1
"Amateur Athletic Association",1
"Encore",1
"Leander Club #1-1",1
"Chicago Athletic Association",1
"Unified Team-2",1
"Unified Team-1",1
"Bingo",1
"Senegal",1
"Thessalonki-1",1
"Boreas-2",1
"Namoussa",1
"Crabe II-4",1
"Socit Nautique de Bayonne-2",1
"New York Athletic Club-1",1
"Espadarte",1
"Aphrodite",1
"Jest",1
"Nykjbings paa Falster",1
"Bagatelle Polo Club, Paris",1
"Kyrgyzstan",1
"St. Louis Southwest Turnverein #1-2",1
"Sweden-3",1
"Argonaut Rowing Club",1
"Kullan",1
"Jordan",1
"Heatherbell",1
"Denmark-2",1
"May Be",1
"St. Louis Amateur Athletic Association",1
"Brazil-2",1
"Ali-Baba II",1
"New York Athletic Club #1-1",1
"Mignon-3",1
"Jo",1
"Hurlingham-2",1
"Netherlands-1",1
"Guyana",1
"Esterel-1",1
"Sweden-2",1
"Elsie",1
"Gwendoline-2",1
"Rowing Club Castillon-3",1
"Germania II",1
"Ancora",1
"Moldova",1
"Wannsee",1
