"team","gold_medals","silver_medals","bronze_medals","total_medals"
"United States",709,415,336,1460
"Italy",202,183,186,571
"France",167,183,221,571
"Soviet Union",212,145,147,504
"Great Britain",154,164,163,481
"Germany",133,135,128,396
"Australia",97,124,149,370
"Sweden",79,122,140,341
"Canada",107,107,114,328
"Netherlands",58,90,109,257
"Hungary",94,67,80,241
"Norway",82,84,65,231
"Russia",72,67,80,219
"Romania",46,61,91,198
"East Germany",73,59,63,195
"Spain",38,87,53,178
"Brazil",30,58,75,163
"Belgium",32,61,55,148
"Switzerland",29,50,55,134
"China",44,37,33,114
"West Germany",36,40,37,113
"Cuba",39,37,33,109
"Denmark",41,40,26,107
"Argentina",25,34,32,91
"Yugoslavia",31,39,21,91
"Poland",13,27,47,87
"Czechoslovakia",16,43,26,85
"Bulgaria",13,32,27,72
"New Zealand",35,18,18,71
"Japan",18,16,21,55
"South Korea",21,19,12,52
"Austria",14,25,12,51
"Unified Team",24,11,15,50
"Finland",8,15,26,49
"Jamaica",18,20,8,46
"Pakistan",20,16,9,45
"Turkey",17,11,13,41
"Ukraine",9,10,19,38
"Nigeria",10,12,16,38
"India",28,2,4,34
"Mexico",12,5,16,33
"Belarus",8,11,13,32
"Croatia",12,9,10,31
"Switzerland-1",8,11,9,28
"United States-1",8,11,8,27
"South Africa",6,9,12,27
"Greece",8,7,10,25
"Uruguay",13,0,12,25
"Ethiopia",12,3,10,25
"Serbia",3,7,10,20
"Czech Republic",5,2,11,18
"Kenya",6,8,4,18
"Chinese Taipei",2,8,6,16
"Morocco",5,4,7,16
"Great Britain-1",9,5,1,15
"Trinidad and Tobago",5,4,6,15
"Germany-1",7,3,4,14
"Bahamas",5,5,3,13
"Canada-1",3,3,7,13
"France-1",2,4,7,13
"Serbia and Montenegro",2,6,4,12
"Lithuania",3,0,9,12
"Zimbabwe",7,4,1,12
"Paraguay",0,11,0,11
"Switzerland-2",4,6,1,11
"Portugal",1,1,9,11
"Slovenia",2,2,7,11
"Italy-1",6,4,1,11
"Ghana",0,0,11,11
"Kazakhstan",3,5,3,11
"Azerbaijan",1,4,5,10
"Australasia",7,2,1,10
"Great Britain-2",1,4,5,10
"United States-2",3,3,3,9
"Brazil-1",2,7,0,9
"Chile",0,5,4,9
"Devon and Somerset Wanderers",9,0,0,9
"Vesper Boat Club",9,0,0,9
"Cameroon",7,1,0,8
"Soviet Union-1",4,4,0,8
