"year","team","gold_medals"
1984,"United States",64
2016,"United States",49
1980,"Soviet Union",48
1996,"United States",39
2012,"United States",38
1964,"United States",36
1988,"Soviet Union",34
2000,"United States",33
1960,"United States",31
1976,"Soviet Union",31
1972,"Soviet Union",30
1992,"United States",28
1948,"United States",28
1956,"United States",26
2008,"United States",26
1924,"United States",25
1912,"Sweden",25
1920,"United States",25
2004,"United States",24
1932,"United States",21
1904,"United States",19
1908,"Great Britain",18
1936,"Germany",18
1952,"United States",17
1928,"United States",16
1968,"United States",16
2002,"Norway",13
2010,"Canada",13
2014,"Canada",12
1900,"France",10
1906,"France",10
1998,"United States",9
1994,"Italy",8
2006,"Canada",7
1896,"United States",6
