"id","name","summer_participations","winter_participations"
18893,"Albert Casteleyns",1,2
26574,"Alfred Antoine de Rauch",1,2
22636,"Allyn Condon",1,1
22442,"Anton Johannes Collin",2,2
9739,"Antonella Bellutti",3,1
9249,"Bjrn Runald Beckman",1,1
7978,"Bryan Barnett",1,2
14200,"Charles ""Charly"" Bouvy",2,1
24689,"Claudinei Quirino da Silva",3,1
17694,"Colin William Ashburner Campbell",3,1
31167,"Edward Patrick Francis ""Eddie"" Eagan",2,1
32406,"Fritz Erik Elmster (Pettersson-)",1,4
10991,"Gilbert Bessi",1,7
23853,"Giuseppe Crivelli",1,1
18459,"Helen Constance ""Connie"" Carpenter-Phinney",1,1
30131,"Herbert John ""Herb"" Drury",1,1
16648,"Hjalmar Eric Wilhelm Burman",1,1
27924,"Istvn (Stefan von) Dvn",3,2
24071,"Istvn Csk (Hircsk)",1,1
13698,"Jan Bos",1,11
16262,"Jean-Marie Buisset",3,2
13257,"Jorge L. Bonnet",2,4
5605,"Jorun Askersrud-Tangen",2,1
5429,"Karl Wilhelm Konrad Arwe (Andersson-)",1,1
30452,"Louis Dufour, Jr.",1,1
770,"Marcus Adam",3,1
32303,"Miguel C. Elizondo Navarrete",1,1
34085,"Mtys Farkas",1,1
19941,"Pierre Charpentier",1,1
13933,"Robert ""Bob"" Boucher",1,1
26793,"Robert Hubert Maria ""Rob"" de Wit",2,1
4660,"Shinji Aoto",3,1
10540,"Sven Olof Lennart Bergquist",1,1
9184,"Timothy Beck",1,1
14916,"Vin Elias Bremer",1,1
12493,"Vsevolod Mikhaylovich Bobrov",1,1
25546,"Wilbur D. ""Willie"" Davenport",4,1
