"team","sport","total_medals"
"A North American Team","Polo",3
"Algeria","Boxing",2
"Ali-Baba II","Sailing",1
"Amateur Athletic Association","Athletics",1
"Amstel Amsterdam","Rowing",2
"Ancora","Sailing",1
"Angelita","Sailing",7
"Antwerpia V","Sailing",1
"Aphrodite","Sailing",1
"Argentina","Football",27
"Argonaut Rowing Club","Rowing",1
"Armenia","Wrestling",4
"Atlanta","Sailing",3
"Australasia","Swimming",5
"Australia","Swimming",98
"Australia-1","Beach Volleyball",2
"Austria","Alpine Skiing",13
"Austria-1","Bobsleigh",4
"Austria-2","Figure Skating",1
"Azerbaijan","Wrestling",5
"Bagatelle Polo Club, Paris","Polo",1
"Bahamas","Athletics",13
"Ballerina IV","Sailing",1
"Barion/Bari-2","Rowing",3
"Belarus","Canoeing",5
"Belarus","Biathlon",5
"Belgium","Fencing",26
"Bem II","Sailing",1
"Bera","Sailing",1
"Berliner Ruderclub","Rowing",1
"Berliner Ruderverein von 1876-2","Rowing",4
"Bingo","Sailing",1
"Bissbi","Sailing",2
"BLO Polo Club, Rugby","Polo",2
"Bluebottle","Sailing",1
"Bonzo","Sailing",1
"Boreas-2","Sailing",1
"Boston Archers","Archery",3
"Botswana","Athletics",1
"Brazil","Football",42
"Brazil-1","Beach Volleyball",9
"Brazil-2","Beach Volleyball",1
"Brussels Swimming and Water Polo Club","Water Polo",4
"Brynhild-2","Sailing",1
"Bucintoro Venezia","Rowing",4
"Bucintoro Venezia-1","Rowing",2
"Bulgaria","Wrestling",14
"Buraddoo","Sailing",1
"Cambridge University Boat Club-2","Rowing",3
"Cameroon","Football",7
"Canada","Ice Hockey",77
"Canada-1","Figure Skating",6
"Canada-1","Bobsleigh",6
"Canada-2","Bobsleigh",1
"Caprice","Sailing",1
"Carabinier-15","Sailing",1
"Central Turnverein, Chicago","Gymnastics",1
"Century Boat Club-1","Rowing",2
"Cercle de l'Aviron Roubaix-4","Rowing",4
"Chicago Athletic Association","Athletics",1
"Chicago Athletic Association-2","Water Polo",1
"Chile","Equestrianism",3
"Chile","Football",3
"China","Gymnastics",18
"China-1","Table Tennis",4
"China-2","Table Tennis",1
"Chinese Taipei","Baseball",6
"Christian Brothers' College-1","Football",4
"Chuckles","Sailing",1
"Cincinnati Archers","Archery",2
"Cobweb-1","Sailing",2
"Colombia","Shooting",2
"Colombia","Weightlifting",2
"Colombia","Judo",2
"Complex II","Sailing",1
"Cornwall","Rugby",2
"Cote d'Ivoire","Taekwondo",1
"Crabe II-1","Sailing",1
"Crabe II-4","Sailing",1
"Croatia","Water Polo",11
"Cuba","Baseball",26
"Czech Republic","Ice Hockey",7
"Czechoslovakia","Ice Hockey",25
"Denmark","Rowing",20
"Denmark-2","Badminton",1
"Denmark/Sweden","Tug-Of-War",1
"Devon and Somerset Wanderers","Cricket",9
"Dominican Republic","Boxing",1
"Dormy-1","Sailing",1
"East Germany","Rowing",37
"East Germany-1","Luge",2
"East Germany-2","Luge",3
"Edelweiss II-1","Sailing",3
"Egypt","Boxing",2
"Egypt","Weightlifting",2
"Elisabeth V","Sailing",1
"Elisabeth X","Sailing",3
"Elsie","Sailing",1
"Elvis Va","Equestrianism",1
"Encore","Sailing",1
"England-1","Hockey",1
"England-1","Cycling",1
"Erna Signe","Sailing",4
"Espadarte","Sailing",1
"Esterel-1","Sailing",1
"Estonia","Rowing",2
"Ethiopia","Athletics",25
"Favorite-1","Sailing",2
"Favorite Hammonia-3","Rowing",2
"Fiji","Rugby Sevens",2
"Finland","Ice Hockey",10
"Fornebo","Sailing",3
"Foxhunters Hurlingham","Polo",2
"France","Fencing",108
"France-1","Figure Skating",6
"France-2","Tennis",2
"France-3","Tennis",3
"Frankfurt Club","Rugby",2
"Gallant","Sailing",4
"Gallia II","Sailing",2
"Galt Football Club","Football",2
"Gem","Sailing",1
"Gem IV","Sailing",1
"Georgia","Weightlifting",2
"Georgia","Wrestling",2
"Germania II","Sailing",1
"Germany","Canoeing",41
"Germany-1","Figure Skating",5
"Germany-2","Bobsleigh",6
"Ghana","Football",9
"Gitana-2","Sailing",4
"Great Britain","Athletics",95
"Great Britain-1","Tennis",7
"Great Britain-2","Tennis",5
"Great Britain-3","Tennis",2
"Great Britain/Germany","Tennis",1
"Greece","Athletics",7
"Greece-1","Tennis",3
"Greece-2","Tennis",1
"Guatemala","Athletics",1
"Guyana","Boxing",1
"Guyoni","Sailing",1
"Gwendoline-2","Sailing",1
"Gyrinus-1","Motorboating",2
"Haiti","Shooting",2
"Heatherbell","Sailing",1
"Heira II","Sailing",2
"Hera-1","Sailing",6
"Heroine","Sailing",2
"Hollandia","Sailing",2
"Hungary","Water Polo",40
"Hurlingham-2","Polo",1
"Iceland","Handball",2
"India","Hockey",32
"Individual Olympic Athletes","Shooting",3
"Indonesia","Weightlifting",1
"Indonesia","Badminton",1
"Indonesia-1","Badminton",3
"Iran","Wrestling",4
"Iraq","Weightlifting",1
"Ireland","Boxing",7
"Ireland-2","Hockey",3
"Israel","Judo",1
"Italia","Sailing",2
"Italy","Fencing",124
"Italy-1","Bobsleigh",8
"Italy-2","Bobsleigh",3
"Jamaica","Athletics",46
"Japan","Gymnastics",14
"Jest","Sailing",1
"Jo","Sailing",1
"Jordan","Taekwondo",1
"K Division Metropolitan Police Team-3","Tug-Of-War",3
"Kazakhstan","Boxing",4
"Kenya","Athletics",17
"Kerstin-1","Sailing",1
"Kitty-1","Sailing",1
"Kullan","Sailing",1
"Kurush II","Sailing",2
"Kuwait","Shooting",2
"Kyrgyzstan","Wrestling",1
"L'Aile VI","Sailing",3
"Lalage","Sailing",2
"Large boat, Central Naval Prep School ""Poros""-1","Rowing",2
"Latvia","Athletics",3
"Latvia-1","Bobsleigh",1
"Leander Club-1","Rowing",4
"Leander Club-2","Rowing",3
"Leander Club #1-1","Rowing",1
"Leander Club #2-2","Rowing",1
"Lebanon","Wrestling",2
"Lerina","Sailing",6
"Libellule de Paris","Water Polo",3
"Life boat naval ship ""Spetsai""-1","Rowing",3
"Lithuania","Basketball",7
"Liverpool Police Team-2","Tug-Of-War",2
"Llanoria","Sailing",1
"London City Police-1","Tug-Of-War",1
"Lucky Girl-1","Sailing",1
"Ludwigshafener Ruder Verein-1","Rowing",2
"Ludwigshafener Ruderverein","Rowing",3
"Luxembourg","Athletics",1
"Luxembourg","Weightlifting",1
"Magda IX","Sailing",3
"Magdalen College Boat Club-1","Rowing",1
