"id","name","sex","age","height","weight","team","noc","games","year","season","city","sport","event","medal"
590,"Mohamed Abu Abdullah","M",27.0,173.0,74.0,"Bangladesh","BAN","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Men's 100 metres",NULL
1421,"Masbah Ahmmed","M",21.0,NULL,NULL,"Bangladesh","BAN","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Men's 100 metres",NULL
1661,"Doli Akhtar","F",14.0,158.0,53.0,"Bangladesh","BAN","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 100 metres Breaststroke",NULL
1661,"Doli Akhtar","F",18.0,158.0,53.0,"Bangladesh","BAN","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Women's 50 metres Freestyle",NULL
1661,"Doli Akhtar","F",22.0,158.0,53.0,"Bangladesh","BAN","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 50 metres Freestyle",NULL
1746,"Sonia Aktar","F",19.0,NULL,NULL,"Bangladesh","BAN","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 50 metres Freestyle",NULL
1749,"Shirin Akter","F",21.0,159.0,50.0,"Bangladesh","BAN","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's 100 metres",NULL
2230,"Mohamed Mahbub Alam","M",27.0,170.0,80.0,"Bangladesh","BAN","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's 200 metres",NULL
2231,"Mohamed Shah Alam","M",26.0,168.0,63.0,"Bangladesh","BAN","1988 Summer",1988,"Summer","Seoul","Athletics","Athletics Men's 200 metres",NULL
2231,"Mohamed Shah Alam","M",26.0,168.0,63.0,"Bangladesh","BAN","1988 Summer",1988,"Summer","Seoul","Athletics","Athletics Men's 4 x 100 metres Relay",NULL
2234,"Saiful Alam","M",27.0,NULL,NULL,"Bangladesh","BAN","1996 Summer",1996,"Summer","Atlanta","Shooting","Shooting Men's Air Rifle, 10 metres",NULL
3350,"Golam Ambia","M",26.0,170.0,68.0,"Bangladesh","BAN","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Men's 100 metres",NULL
3350,"Golam Ambia","M",26.0,170.0,68.0,"Bangladesh","BAN","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Men's 4 x 100 metres Relay",NULL
7056,"Abdullah Hel Baki","M",27.0,170.0,82.0,"Bangladesh","BAN","2016 Summer",2016,"Summer","Rio de Janeiro","Shooting","Shooting Men's Air Rifle, 10 metres",NULL
17255,"Quazi Syque Caesar","M",21.0,158.0,58.0,"Bangladesh","BAN","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Men's Floor Exercise",NULL
17255,"Quazi Syque Caesar","M",21.0,158.0,58.0,"Bangladesh","BAN","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Men's Parallel Bars",NULL
17255,"Quazi Syque Caesar","M",21.0,158.0,58.0,"Bangladesh","BAN","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Men's Horizontal Bar",NULL
21166,"Shahanuddin Choudhury","M",21.0,173.0,62.0,"Bangladesh","BAN","1988 Summer",1988,"Summer","Seoul","Athletics","Athletics Men's 4 x 100 metres Relay",NULL
21166,"Shahanuddin Choudhury","M",21.0,173.0,62.0,"Bangladesh","BAN","1988 Summer",1988,"Summer","Seoul","Athletics","Athletics Men's Long Jump",NULL
21166,"Shahanuddin Choudhury","M",25.0,173.0,62.0,"Bangladesh","BAN","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Men's 200 metres",NULL
21166,"Shahanuddin Choudhury","M",25.0,173.0,62.0,"Bangladesh","BAN","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Men's 4 x 100 metres Relay",NULL
25785,"Saidur Rahman Dawn","M",21.0,162.0,60.0,"Bangladesh","BAN","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Men's 100 metres",NULL
25785,"Saidur Rahman Dawn","M",21.0,162.0,60.0,"Bangladesh","BAN","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Men's 200 metres",NULL
