"team","total_unique_athletes","total_olympic_participations","total_gold_medals","total_silver_medals","total_bronze_medals","total_medals","first_year_of_participation","last_year_of_participation"
"United States",2565,4979,709,415,336,1460,1896,2016
"Soviet Union",581,1162,212,145,147,504,1952,1988
"Italy",1838,4023,202,183,186,571,1900,2016
"France",2242,4608,167,183,221,571,1896,2016
"Great Britain",1715,3282,154,164,163,481,1896,2016
"Germany",916,1965,133,135,128,396,1896,2016
"Canada",1266,2536,107,107,114,328,1904,2016
"Australia",1137,2235,97,124,149,370,1906,2016
"Hungary",625,1507,94,67,80,241,1896,2016
"Norway",465,1134,82,84,65,231,1900,2016
"Sweden",953,2057,79,122,140,341,1900,2016
"East Germany",248,527,73,59,63,195,1968,1988
"Russia",482,1030,72,67,80,219,1900,2016
"Netherlands",719,1453,58,90,109,257,1900,2016
"Romania",552,1333,46,61,91,198,1924,2016
"China",329,580,44,37,33,114,1936,2016
"Denmark",365,643,41,40,26,107,1900,2016
"Cuba",379,710,39,37,33,109,1904,2016
"Spain",910,1836,38,87,53,178,1900,2016
"West Germany",324,643,36,40,37,113,1968,1988
"New Zealand",357,618,35,18,18,71,1920,2016
"Belgium",681,1326,32,61,55,148,1900,2016
"Yugoslavia",273,549,31,39,21,91,1920,1992
"Brazil",805,1529,30,58,75,163,1920,2016
"Switzerland",700,1560,29,50,55,134,1896,2016
"India",185,296,28,2,4,34,1920,2016
"Argentina",615,1091,25,34,32,91,1900,2016
"Unified Team",114,157,24,11,15,50,1992,1992
"South Korea",249,458,21,19,12,52,1948,2016
"Pakistan",133,206,20,16,9,45,1948,2016
"Japan",260,515,18,16,21,55,1928,2016
"Jamaica",96,227,18,20,8,46,1948,2016
"Turkey",304,540,17,11,13,41,1924,2016
"Czechoslovakia",393,862,16,43,26,85,1920,1992
"Austria",357,753,14,25,12,51,1900,2016
"Poland",532,996,13,27,47,87,1924,2016
"Bulgaria",319,756,13,32,27,72,1924,2016
"Uruguay",127,203,13,0,12,25,1924,2016
"Mexico",473,864,12,5,16,33,1924,2016
"Croatia",91,195,12,9,10,31,1992,2016
"Ethiopia",85,142,12,3,10,25,1956,2016
"Nigeria",209,324,10,12,16,38,1952,2016
"Ukraine",201,437,9,10,19,38,1994,2016
"Great Britain-1",44,57,9,5,1,15,1900,2014
"Vesper Boat Club",7,9,9,0,0,9,1900,1904
"Devon and Somerset Wanderers",9,9,9,0,0,9,1900,1900
"Finland",182,380,8,15,26,49,1906,2016
"Belarus",137,310,8,11,13,32,1994,2016
"Switzerland-1",29,42,8,11,9,28,1924,2014
"United States-1",53,68,8,11,8,27,1928,2016
"Greece",268,505,8,7,10,25,1896,2016
"Germany-1",20,23,7,3,4,14,1928,2014
"Zimbabwe",44,86,7,4,1,12,1928,2016
"Australasia",12,22,7,2,1,10,1908,1912
"Cameroon",81,104,7,1,0,8,1968,2016
"Winnipeg Shamrocks-1",7,7,7,0,0,7,1904,1904
"Angelita",8,10,7,0,0,7,1932,1936
"South Africa",238,399,6,9,12,27,1908,2016
"Kenya",112,182,6,8,4,18,1956,2016
"Italy-1",43,57,6,4,1,11,1924,2014
"Hera-1",6,6,6,0,0,6,1908,1908
"Czech Republic",129,324,5,2,11,18,1994,2016
"Morocco",222,331,5,4,7,16,1960,2016
"Trinidad and Tobago",57,153,5,4,6,15,1956,2016
