"year","name","team","sport","event"
2012,"A Lamusi","China","Judo","Judo Men's Extra-Lightweight"
2012,"Jamale (Djamel-) Aarrass (Ahrass-)","France","Athletics","Athletics Men's 1,500 metres"
2012,"Abdelhak Aatakni","Morocco","Boxing","Boxing Men's Light-Welterweight"
2012,"Mariya Vasilyevna Abakumova (-Tarabina)","Russia","Athletics","Athletics Women's Javelin Throw"
2012,"Luc Abalo","France","Handball","Handball Men's Handball"
2012,"Mara Laura Abalo","Argentina","Rowing","Rowing Women's Coxless Pairs"
2012,"Emanuele Abate","Italy","Athletics","Athletics Men's 110 metres Hurdles"
2012,"Ilyas Abbadi","Algeria","Boxing","Boxing Men's Welterweight"
2012,"Sohail Abbas","Pakistan","Hockey","Hockey Men's Hockey"
2012,"Shakeel Abbasi","Pakistan","Hockey","Hockey Men's Hockey"
2012,"Soulmaz Abbasi Azad","Iran","Rowing","Rowing Women's Single Sculls"
2012,"Simona Abbate","Italy","Water Polo","Water Polo Women's Water Polo"
2012,"Mohamed Ibrahim Abd El-Fatah Mohamed","Egypt","Wrestling","Wrestling Men's Heavyweight, Greco-Roman"
2012,"Reem Wa'il Abdalazem Abdalazem El-Bossaty","Egypt","Synchronized Swimming","Synchronized Swimming Women's Team"
2012,"Ibrahim Ramadan Ibrahim Abdelbaki","Egypt","Weightlifting","Weightlifting Men's Middleweight"
2012,"Ragab Abdelhay Saad Abdelrazek Abdallah","Egypt","Weightlifting","Weightlifting Men's Light-Heavyweight"
2012,"Sayed Abdelmonem Sayed Hamed","Egypt","Wrestling","Wrestling Men's Lightweight, Greco-Roman"
2012,"Ihab Abdelrahman El-Sayed Abdelrahman","Egypt","Athletics","Athletics Men's Javelin Throw"
2012,"Mouni Abderrahim","Algeria","Volleyball","Volleyball Women's Volleyball"
2012,"Saeid Morad Abdevali","Iran","Wrestling","Wrestling Men's Welterweight, Greco-Roman"
2012,"Youcef Abdi","Australia","Athletics","Athletics Men's 3,000 metres Steeplechase"
2012,"Abdihakim ""Abdi"" Abdirahman","United States","Athletics","Athletics Men's Marathon"
2012,"Yhyacinthe Mewoli Abdon","Cameroon","Boxing","Boxing Men's Lightweight"
2012,"Dana Abdul Razak (Hussain-)","Iraq","Athletics","Athletics Women's 100 metres"
2012,"Mona Ahmad Abdulaziz Hassanein","Egypt","Fencing","Fencing Women's epee, Individual"
2012,"Ahmed Abdulkareem Ahmed","Iraq","Boxing","Boxing Men's Welterweight"
