"name","team","sport","event","year"
"Edgar Lindenau Aabye","Denmark/Sweden","Tug-Of-War","Tug-Of-War Men's Tug-Of-War",1900
"Paavo Johannes Aaltonen","Finland","Gymnastics","Gymnastics Men's Team All-Around",1948
"Paavo Johannes Aaltonen","Finland","Gymnastics","Gymnastics Men's Horse Vault",1948
"Paavo Johannes Aaltonen","Finland","Gymnastics","Gymnastics Men's Pommelled Horse",1948
"Kjetil Andr Aamodt","Norway","Alpine Skiing","Alpine Skiing Men's Super G",1992
"Kjetil Andr Aamodt","Norway","Alpine Skiing","Alpine Skiing Men's Super G",2002
"Kjetil Andr Aamodt","Norway","Alpine Skiing","Alpine Skiing Men's Combined",2002
"Kjetil Andr Aamodt","Norway","Alpine Skiing","Alpine Skiing Men's Super G",2006
"Ragnhild Margrethe Aamodt","Norway","Handball","Handball Women's Handball",2008
"Roald Edgar Aas","Norway","Speed Skating","Speed Skating Men's 1,500 metres",1960
"Thomas Valentin Aas","Taifun","Sailing","Sailing Mixed 8 metres",1912
"Ren Abadie","France","Cycling","Cycling Men's Road Race, Team",1956
"Aleksey Aleksandrovich Abalmasov","Belarus","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres",2008
"Luc Abalo","France","Handball","Handball Men's Handball",2008
"Luc Abalo","France","Handball","Handball Men's Handball",2012
"Jouan Patrice Abanda Etong","Cameroon","Football","Football Men's Football",2000
"Jos Mara Abarca Plotas","Spain","Water Polo","Water Polo Men's Water Polo",1996
"Alejandro Abascal Garca","Spain","Sailing","Sailing Mixed Two Person Heavyweight Dinghy",1980
"Jol Marc Abati","France","Handball","Handball Men's Handball",2008
"Agostino Abbagnale","Italy","Rowing","Rowing Men's Quadruple Sculls",1988
"Agostino Abbagnale","Italy","Rowing","Rowing Men's Double Sculls",1996
"Agostino Abbagnale","Italy","Rowing","Rowing Men's Quadruple Sculls",2000
"Carmine Abbagnale","Italy","Rowing","Rowing Men's Coxed Pairs",1984
"Carmine Abbagnale","Italy","Rowing","Rowing Men's Coxed Pairs",1988
"Giuseppe Abbagnale","Italy","Rowing","Rowing Men's Coxed Pairs",1984
"Giuseppe Abbagnale","Italy","Rowing","Rowing Men's Coxed Pairs",1988
"Margaret Ives Abbott (-Dunne)","United States","Golf","Golf Women's Individual",1900
"Lala Abdul Rashid","Pakistan","Hockey","Hockey Men's Hockey",1960
"Zagalav Abdulbekovich Abdulbekov","Soviet Union","Wrestling","Wrestling Men's Featherweight, Freestyle",1972
"Mukhammad Kadyr Abdullayev","Uzbekistan","Boxing","Boxing Men's Light-Welterweight",2000
"Namiq Yadulla Abdullayev","Azerbaijan","Wrestling","Wrestling Men's Bantamweight, Freestyle",2000
"Julius Shareef Abdur-Rahim","United States","Basketball","Basketball Men's Basketball",2000
"Andrey Khakimovich Abduvaliyev","Unified Team","Athletics","Athletics Men's Hammer Throw",1992
"Masashi Abe","Japan","Nordic Combined","Nordic Combined Men's Team",1994
"George Gordon Abel","Canada","Ice Hockey","Ice Hockey Men's Ice Hockey",1952
"Abelardo Fernndez Antua","Spain","Football","Football Men's Football",1992
"Louis Grenville ""Lou"" Abell","Vesper Boat Club","Rowing","Rowing Men's Coxed Eights",1900
"Louis Grenville ""Lou"" Abell","Vesper Boat Club","Rowing","Rowing Men's Coxed Eights",1904
"Gezahgne Abera","Ethiopia","Athletics","Athletics Men's Marathon",2000
"Michael Brent Abernathy","United States","Baseball","Baseball Men's Baseball",2000
"Ismail Abilov (-Nizamolu)","Bulgaria","Wrestling","Wrestling Men's Middleweight, Freestyle",1980
"Edgar Allen ""Ed"" Ablowich","United States","Athletics","Athletics Men's 4 x 400 metres Relay",1932
"Attila brahm","Hungary","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres",1988
"Harold Maurice Abrahams","Great Britain","Athletics","Athletics Men's 100 metres",1924
"Isak Abrahamsen","Norway","Gymnastics","Gymnastics Men's Team All-Around, Free System",1912
"Saypulla Atavovich Absaidov","Soviet Union","Wrestling","Wrestling Men's Lightweight, Freestyle",1980
"Julien Absalon","France","Cycling","Cycling Men's Mountainbike, Cross-Country",2004
"Julien Absalon","France","Cycling","Cycling Men's Mountainbike, Cross-Country",2008
"Ahmad Abughaush","Jordan","Taekwondo","Taekwondo Men's Featherweight",2016
"Magomedgasan Mingazhutdinovich Abushev","Soviet Union","Wrestling","Wrestling Men's Featherweight, Freestyle",1980
"William Accambray","France","Handball","Handball Men's Handball",2012
"Fausto Alesio Acke (Padovini-)","Sweden","Gymnastics","Gymnastics Men's Team All-Around, Swedish System",1920
"Paul Douglas Ackerley","New Zealand","Hockey","Hockey Men's Hockey",1976
"Charles Edwin ""Charley"" Ackerly","United States","Wrestling","Wrestling Men's Featherweight, Freestyle",1920
"Donat Acklin","Switzerland-1","Bobsleigh","Bobsleigh Men's Two",1992
"Donat Acklin","Switzerland-1","Bobsleigh","Bobsleigh Men's Two",1994
"Lautaro Germn Acosta","Argentina","Football","Football Men's Football",2008
"Bashir Ahmed","Pakistan","Hockey","Hockey Men's Hockey",1960
"Gordon Belgum ""Gordy"" Adam","United States","Rowing","Rowing Men's Coxed Eights",1936
"Michael B. ""Mike"" Adam","Canada","Curling","Curling Men's Curling",2006
"Pierre Louis Eugne Adam","France","Cycling","Cycling Men's Team Pursuit, 4,000 metres",1948
"Harry Lester Adams","United States","Shooting","Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",1912
"Nicola Virginia Adams","Great Britain","Boxing","Boxing Women's Flyweight",2012
