"team","number_of_athletes"
"United States",2565
"France",2242
"Italy",1838
"Great Britain",1715
"Canada",1266
"Australia",1137
"Sweden",953
"Germany",916
"Spain",910
"Brazil",805
"Netherlands",719
"Switzerland",700
"Belgium",681
"Hungary",625
"Argentina",615
"Soviet Union",581
"Romania",552
"Poland",532
"Russia",482
"Mexico",473
"Norway",465
"Egypt",444
"Czechoslovakia",393
"Cuba",379
"Denmark",365
"Austria",357
"New Zealand",357
"China",329
"West Germany",324
"Bulgaria",319
"Turkey",304
"Portugal",301
"Yugoslavia",273
"Greece",268
"Japan",260
"South Korea",249
"East Germany",248
"South Africa",238
"Ireland",227
"Morocco",222
"Nigeria",209
"Ukraine",201
"Puerto Rico",188
"India",185
"Colombia",185
"Finland",182
"Algeria",177
"Tunisia",172
"Chinese Taipei",169
"Venezuela",157
"Chile",152
"Iran",143
"Kuwait",139
"Belarus",137
"Kazakhstan",137
"Peru",137
"Philippines",133
"Pakistan",133
"Czech Republic",129
"Uruguay",127
"Saudi Arabia",122
"Unified Team",114
"Kenya",112
"Mongolia",110
"Senegal",104
"Latvia",100
"Ghana",100
"Jamaica",96
"Israel",91
"Croatia",91
"Slovakia",89
"Thailand",87
"Ethiopia",85
"Cameroon",81
"Hong Kong",80
"Malaysia",77
"Slovenia",74
"Qatar",72
"Angola",70
"Luxembourg",70
"Guatemala",68
"Uzbekistan",65
"Iraq",65
"Dominican Republic",62
"Lebanon",60
"Syria",58
"Iceland",57
"Trinidad and Tobago",57
"United States-2",56
"Paraguay",54
"United States-1",53
"United Arab Emirates",51
"Lithuania",51
"France-1",51
"Azerbaijan",51
"Ecuador",49
"Costa Rica",49
"Bahrain",48
"Moldova",47
"Great Britain-2",46
"Great Britain-1",44
"North Korea",44
"Zimbabwe",44
"Italy-1",43
"United Arab Republic",43
"Honduras",42
"Oman",42
"Cote d'Ivoire",41
"Libya",41
"Serbia",41
"El Salvador",41
"Bahamas",40
"Serbia and Montenegro",39
"Uganda",39
"Indonesia",39
"Italy-2",39
"Guinea",38
"Bolivia",38
"Canada-2",37
"Zambia",37
"Barbados",36
"Jordan",36
"Panama",36
"Sudan",36
"Estonia",36
"Monaco",35
"Armenia",35
"San Marino",35
"Kyrgyzstan",35
"France-2",35
"Canada-1",34
"Bermuda",33
"Georgia",32
"Malta",32
"Switzerland-2",31
"Mali",31
"United States Virgin Islands",31
