"sport","number_of_unique_athletes"
"Athletics",6045
"Swimming",2273
"Rowing",1962
"Football",1800
"Cycling",1520
"Boxing",1456
"Shooting",1331
"Sailing",1297
"Wrestling",1293
"Fencing",1214
"Hockey",1026
"Gymnastics",998
"Basketball",933
"Ice Hockey",848
"Canoeing",762
"Weightlifting",751
"Judo",742
"Alpine Skiing",737
"Water Polo",703
"Equestrianism",685
"Handball",677
"Volleyball",583
"Cross Country Skiing",568
"Art Competitions",485
"Bobsleigh",455
"Figure Skating",402
"Diving",388
"Tennis",338
"Speed Skating",331
"Archery",281
"Biathlon",265
"Modern Pentathlon",247
"Ski Jumping",187
"Baseball",187
"Table Tennis",172
"Luge",166
"Badminton",162
"Synchronized Swimming",157
"Freestyle Skiing",157
"Taekwondo",140
"Nordic Combined",140
"Rhythmic Gymnastics",136
"Snowboarding",125
"Short Track Speed Skating",104
"Triathlon",93
"Beach Volleyball",92
"Softball",87
"Rugby Sevens",85
"Curling",67
"Golf",49
"Rugby",47
"Skeleton",42
"Tug-Of-War",35
"Polo",33
"Trampolining",21
"Lacrosse",20
"Cricket",13
"Military Ski Patrol",9
"Alpinism",7
"Croquet",4
"Motorboating",4
"Racquets",4
"Jeu De Paume",2
"Roque",2
"Basque Pelota",1
